"Easting","Northing","City","Administrative.unit","X6.29.18","X7.6.18","X7.13.18","X7.20.18","X7.27.18","X8.3.18","X8.10.18","X8.17.18","X8.24.18","X8.31.18","X9.7.18","X9.14.18","X9.21.18","X9.28.18","X10.5.18","X10.12.18","X10.19.18","X10.26.18","X11.2.18","X11.9.18","X11.16.18","X11.23.18","X11.30.18","X12.7.18","X12.14.18","X12.21.18","X12.28.18","X1.4.19","X1.11.19","X1.18.19","X1.25.19","X2.1.19","X2.8.19","X2.15.19","X2.22.19","X3.1.19","X3.8.19","X3.15.19","X3.22.19","X3.29.19","X4.5.19","X4.12.19","X4.19.19","X4.26.19","X5.3.19","X5.10.19"
300500,202500,"Aberdare U.D.","Aberdare U.D.",NA,NA,2.1,5.2,6.3,9.4,1,1,NA,1,NA,NA,NA,NA,NA,1,3.1,NA,5.2,11.5,22.9,25,26.1,6.3,4.2,2.1,1,NA,NA,1,2.1,1,NA,3.1,6.3,11.5,15.6,7.3,5.2,4.2,2.1,3.1,NA,1,NA,2.1
326500,203500,"Abersychan U.D.","Abersychan U.D.",NA,NA,2.1,2.1,2.1,NA,4.2,NA,2.1,NA,4.2,NA,2.1,6.4,12.7,8.5,8.5,19.1,14.8,4.2,2.1,NA,2.1,2.1,8.5,NA,NA,NA,NA,2.1,NA,NA,NA,NA,2.1,NA,NA,2.1,4.2,2.1,2.1,2.1,NA,2.1,NA,NA
321500,204500,"Abertillery U.D.","Abertillery U.D.",2.9,4.3,15.9,10.1,4.3,2.9,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,10.1,15.9,33.3,46.4,26.1,15.9,2.9,5.8,1.4,2.9,NA,NA,NA,1.4,NA,NA,4.3,2.9,4.3,1.4,4.3,NA,NA,2.9,NA,7.2,1.4
375500,428500,"Accrington M.B.","Accrington M.B.",NA,9.2,7.8,2.6,NA,1.3,1.3,NA,NA,NA,NA,1.3,1.3,NA,NA,NA,NA,NA,1.3,3.9,6.5,7.8,7.8,5.2,3.9,3.9,1.3,NA,NA,NA,NA,2.6,NA,NA,2.6,9.2,13.1,19.6,10.5,11.8,2.6,3.9,3.9,6.5,NA,1.3
520500,180500,"Acton U.D.","Acton U.D.",NA,0.9,4.6,NA,NA,0.9,NA,NA,NA,0.9,0.9,NA,NA,NA,NA,3.6,3.6,13.7,31,32.8,21.9,23.7,13.7,10,5.5,NA,1.8,1.8,1.8,NA,0.9,NA,1.8,5.5,7.3,5.5,3.6,NA,1.8,0.9,NA,0.9,NA,0.9,1.8,NA
486500,150500,"Aldershot U.D.","Aldershot U.D.",NA,7.3,2.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,26.8,19.5,22,12.2,7.3,14.6,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,12.2,2.4,14.6,12.2,4.9,4.9,NA,NA,NA,NA,NA,NA,NA
243500,378500,"Anglesey","Anglesey",1.1,2.2,NA,NA,NA,1.1,2.2,1.1,NA,NA,1.1,NA,NA,1.1,NA,NA,1.1,2.2,9.8,7.6,16.4,12,14.2,7.6,4.4,4.4,5.5,NA,1.1,3.3,NA,2.2,3.3,4.4,6.6,6.63,9.8,6.6,4.4,3.3,3.3,1.1,2.2,1.1,1.1,3.3
427500,587500,"Ashington U.D.","Ashington U.D.",2.1,6.3,16.7,4.2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,20.9,27.1,12.5,4.2,NA,4.2,2.1,NA,NA,NA,NA,NA,6.3,10.4,16.7,8.4,8.4,2.1,NA,NA,NA,2.1,2.1,NA,2.1
357500,399500,"Ashton-in-Makerfield U.D.","Ashton-in-Makerfield U.D.",NA,7.7,15.3,10.2,12.8,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,2.6,NA,7.7,25.5,35.7,20.4,23,17.9,15.3,12.8,5.1,5.1,NA,NA,NA,2.6,2.6,NA,17.9,20.4,12.8,2.6,2.6,2.6,NA,NA,2.6,NA,NA,NA,NA
394500,399500,"Ashton-under-Lyne M.B.","Ashton-under-Lyne M.B.",NA,11.8,15.8,3.9,3.9,1.3,NA,1.3,1.3,NA,NA,NA,NA,1.3,NA,1.3,1.3,NA,6.6,5.3,11.8,13.1,22.3,26.3,15.8,2.6,3.9,1.3,1.3,NA,NA,1.3,2.6,9.2,14.5,14.5,28.9,7.9,7.9,3.9,1.3,1.3,2.6,NA,NA,NA
