"V1","V2","V3"
"M",331.4725,562.2362
"L",332.6066,564.3559
"L",332.6066,566.8016
"L",332.6066,568.9213
"L",332.6066,571.367
"L",334.4696,571.367
"L",336.5757,571.367
"L",337.7907,570.4703
"L",339.5728,571.041
"L",339.8968,572.916
"L",341.4358,573.4867
"L",342.9749,575.0357
"L",343.8659,576.2586
"L",345.0809,577.4814
"L",346.2959,578.3782
"L",347.511,579.9272
"L",349.05,580.2533
"L",350.5081,581.4762
"L",352.3711,582.373
"L",354.1532,584.8187
"L",356.5832,588.4873
"L",357.7983,589.058
"L",359.0133,590.2809
"L",359.0133,591.2592
"L",359.6613,594.2756
"L",361.4434,597.0475
"L",363.3064,597.9443
"L",364.5214,598.841
"L",365.4125,601.2868
"L",367.5185,602.2651
"L",369.0576,604.0587
"L",370.9206,604.7109
"L",372.7027,604.7109
"L",375.4567,604.0587
"L",376.3478,603.7326
"L",376.9958,605.6076
"L",378.7778,607.4012
"L",379.1018,610.173
"L",381.5319,611.0698
"L",383.638,612.2927
"L",385.177,612.2927
"L",387.2831,613.5156
"L",388.1741,616.2874
"L",387.9311,618.1625
"L",386.716,618.7332
"L",385.744,621.505
"L",385.501,623.054
"L",385.501,623.6247
"L",384.853,624.8476
"L",384.286,626.0705
"L",383.3139,626.9672
"L",382.7469,627.9455
"L",381.5319,629.413
"L",380.6409,631.6142
"L",380.3169,633.4077
"L",379.4258,634.0599
"L",378.2108,635.5274
"L",379.4258,637.0764
"L",381.5319,637.0764
"L",383.638,636.7503
"L",385.177,637.0764
"L",385.177,638.9514
"L",385.744,640.745
"L",386.959,642.294
"L",388.4981,643.843
"L",389.3891,645.3104
"L",390.6041,646.2887
"L",392.1432,648.4084
"L",393.6822,649.9573
"L",393.3582,652.6477
"L",394.2492,653.626
"L",396.4363,654.1967
"L",397.5703,655.501
"L",397.5703,655.501
"L",397.2463,653.8705
"L",399.4334,652.077
"L",399.6764,649.8758
"L",399.6764,648.653
"L",402.4305,645.3104
"L",404.2935,642.8646
"L",406.9666,640.745
"L",407.9386,637.9731
"L",409.7207,636.1796
"L",412.1507,635.5274
"L",413.6898,633.4077
"L",413.6898,632.1848
"L",415.2288,632.7555
"L",417.6589,632.511
"L",420.0889,630.6359
"L",421.304,628.5162
"L",421.547,625.4183
"L",421.871,623.6247
"L",423.086,623.2986
"L",423.086,620.8528
"L",423.734,618.7332
"L",424.3011,616.6135
"L",424.9491,613.1895
"L",425.5161,611.3959
"L",424.9491,609.5208
"L",423.734,607.7273
"L",423.734,605.2815
"L",423.977,603.7326
"L",425.5161,602.8358
"L",427.3791,600.39
"L",426.7311,597.9443
"L",426.1641,596.3953
"L",426.1641,593.6234
"L",427.3791,592.156
"L",428.5942,590.2809
"L",428.5942,588.4873
"L",429.4852,587.2645
"L",429.8092,585.7155
"L",429.1612,583.2697
"L",429.1612,581.7208
"L",429.1612,580.1718
"L",428.8372,579.275
"L",430.3762,578.9489
"L",431.0242,576.5031
"L",431.2672,575.2803
"L",432.8063,573.1606
"L",433.6973,571.6116
"L",434.0213,569.8181
"L",435.2363,567.6984
"L",435.5604,566.1494
"L",434.0213,563.3776
"L",434.9123,564.0298
"L",436.7754,565.2527
"L",437.9904,563.3776
"L",439.2055,561.8286
"L",439.5295,559.709
"L",438.8814,556.9371
"L",438.8814,554.8174
"L",439.5295,553.0239
"L",439.7725,551.1488
"L",440.0965,549.3553
"L",440.9875,547.8063
"L",442.5265,546.5834
"L",442.5265,544.7083
"L",442.5265,542.9148
"L",442.8506,541.3658
"L",444.0656,538.3494
"L",445.6046,536.1482
"L",447.0627,534.6807
"L",449.8167,532.4795
"L",451.3558,531.5828
"L",451.6798,527.5065
"L",451.9228,525.9575
"L",452.8948,524.4901
"L",452.8948,522.2889
"L",451.9228,520.1692
"L",450.4648,518.0496
"L",450.4648,517.3974
"L",452.5708,520.1692
"L",453.4618,522.2889
"L",455.0009,524.4901
"L",455.8919,522.9411
"L",458.646,522.615
"L",461.076,520.8214
"L",463.1821,519.2725
"L",465.0452,518.6203
"L",466.8272,518.6203
"L",469.5813,517.7235
"L",472.0113,517.1528
"L",474.4414,516.8267
"L",477.4385,515.6038
"L",479.3015,514.0548
"L",480.1926,512.5059
"L",481.7316,512.2613
"L",483.2706,511.6091
"L",484.4857,510.7123
"L",486.2677,508.8372
"L",488.3738,508.5927
"L",491.7759,506.3915
"L",492.9909,505.1686
"L",494.2059,503.7011
"L",493.5579,501.5
"L",495.421,499.7064
"L",497.203,498.8096
"L",498.7421,496.0378
"L",499.9571,493.2659
"L",500.5241,490.4941
"L",501.7391,487.8037
"L",502.9542,485.0319
