"x","y"
447.6297,93.5479
449.1687,93.2218
449.1687,91.75434
449.1687,89.55316
449.4117,88.08571
450.6268,88.08571
450.3838,89.55316
449.7357,91.10214
449.4117,92.97722
449.4117,93.874
450.0597,93.874
450.6268,92.97722
451.2748,91.75434
452.1658,91.10214
453.0568,90.53147
454.5959,89.87926
456.1349,90.20537
457.917,90.20537
459.132,89.30859
460.671,88.65639
461.8861,87.43351
461.8861,85.88453
463.7491,85.31385
463.7491,83.43877
462.5341,82.542
460.671,82.542
459.78,82.2159
458.889,81.31912
457.917,79.77014
457.917,77.97659
457.3499,75.85693
456.7019,74.63405
455.2439,74.30795
453.7048,73.98185
452.1658,73.41118
450.9508,73.08507
449.1687,72.75897
447.3057,72.75897
446.7387,74.30795
445.5236,75.20473
444.3086,76.1015
443.0936,77.32438
441.8785,78.30269
440.6635,79.19946
439.1245,79.77014
437.5854,80.74844
437.0184,80.99302
436.0464,81.64522
434.8313,82.542
433.6163,82.542
431.8343,82.542
430.9432,81.97132
429.7282,81.64522
428.5132,81.64522
427.5411,82.542
430.2952,83.76488
430.6192,84.98775
431.8343,86.21063
432.4013,87.1074
434.8313,87.43351
437.0184,87.1074
438.4764,88.08571
439.6915,88.98249
441.2305,89.55316
443.0936,90.20537
444.5516,90.77604
444.8756,91.99892
446.7387,92.97722
447.9537,93.2218
447.6297,93.5479
331.4725,562.2362
332.6066,564.3559
332.6066,566.8016
332.6066,568.9213
332.6066,571.367
334.4696,571.367
336.5757,571.367
337.7907,570.4703
339.5728,571.041
339.8968,572.916
341.4358,573.4867
342.9749,575.0357
343.8659,576.2586
345.0809,577.4814
346.2959,578.3782
347.511,579.9272
349.05,580.2533
350.5081,581.4762
352.3711,582.373
354.1532,584.8187
356.5832,588.4873
357.7983,589.058
359.0133,590.2809
359.0133,591.2592
359.6613,594.2756
361.4434,597.0475
363.3064,597.9443
364.5214,598.841
365.4125,601.2868
367.5185,602.2651
369.0576,604.0587
370.9206,604.7109
372.7027,604.7109
375.4567,604.0587
376.3478,603.7326
376.9958,605.6076
378.7778,607.4012
379.1018,610.173
381.5319,611.0698
383.638,612.2927
385.177,612.2927
387.2831,613.5156
388.1741,616.2874
387.9311,618.1625
386.716,618.7332
385.744,621.505
385.501,623.054
385.501,623.6247
384.853,624.8476
384.286,626.0705
383.3139,626.9672
382.7469,627.9455
381.5319,629.413
380.6409,631.6142
380.3169,633.4077
379.4258,634.0599
378.2108,635.5274
379.4258,637.0764
381.5319,637.0764
383.638,636.7503
385.177,637.0764
385.177,638.9514
385.744,640.745
386.959,642.294
388.4981,643.843
389.3891,645.3104
390.6041,646.2887
392.1432,648.4084
393.6822,649.9573
393.3582,652.6477
394.2492,653.626
396.4363,654.1967
397.5703,655.501
397.5703,655.501
397.2463,653.8705
399.4334,652.077
399.6764,649.8758
399.6764,648.653
402.4305,645.3104
404.2935,642.8646
406.9666,640.745
407.9386,637.9731
409.7207,636.1796
412.1507,635.5274
413.6898,633.4077
413.6898,632.1848
415.2288,632.7555
417.6589,632.511
420.0889,630.6359
421.304,628.5162
421.547,625.4183
421.871,623.6247
423.086,623.2986
423.086,620.8528
423.734,618.7332
424.3011,616.6135
424.9491,613.1895
425.5161,611.3959
424.9491,609.5208
423.734,607.7273
423.734,605.2815
423.977,603.7326
425.5161,602.8358
427.3791,600.39
426.7311,597.9443
426.1641,596.3953
426.1641,593.6234
427.3791,592.156
428.5942,590.2809
428.5942,588.4873
429.4852,587.2645
429.8092,585.7155
429.1612,583.2697
429.1612,581.7208
429.1612,580.1718
428.8372,579.275
430.3762,578.9489
431.0242,576.5031
431.2672,575.2803
432.8063,573.1606
433.6973,571.6116
434.0213,569.8181
435.2363,567.6984
435.5604,566.1494
434.0213,563.3776
434.9123,564.0298
436.7754,565.2527
437.9904,563.3776
439.2055,561.8286
439.5295,559.709
438.8814,556.9371
438.8814,554.8174
439.5295,553.0239
439.7725,551.1488
440.0965,549.3553
440.9875,547.8063
442.5265,546.5834
442.5265,544.7083
