"V1","V2","V3","V4"
353586.1,188280.2,352938.1,189258.5
352938.1,189258.5,352938.1,190807.5
352938.1,190807.5,353262.1,192601
353262.1,192601,352938.1,194150
352938.1,194150,351723.1,195372.9
351723.1,195372.9,351723.1,197492.5
351723.1,197492.5,352047.1,198715.4
352047.1,198715.4,352047.1,200264.4
352047.1,200264.4,353262.1,201487.3
353262.1,201487.3,353910.1,203036.2
353910.1,203036.2,352371.1,204259.1
352371.1,204259.1,352371.1,205400.5
352371.1,205400.5,352938.1,206623.3
352938.1,206623.3,353586.1,208498.4
353586.1,208498.4,353910.1,210618.1
353910.1,210618.1,353586.1,212411.6
353586.1,212411.6,352371.1,213389.9
352371.1,213389.9,350265,213389.9
350265,213389.9,349050,213389.9
349050,213389.9,348078,214286.7
348078,214286.7,347187,215509.6
347187,215509.6,345971.9,216406.4
345971.9,216406.4,345080.9,217303.1
345080.9,217303.1,345080.9,218526
345080.9,218526,344189.9,219504.3
344189.9,219504.3,343217.9,220401.1
343217.9,220401.1,342326.8,220971.8
342326.8,220971.8,341111.8,222194.7
341111.8,222194.7,339005.7,223417.5
339005.7,223417.5,337790.7,223173
337790.7,223173,337790.7,222194.7
337790.7,222194.7,336575.7,221950.1
336575.7,221950.1,335360.6,221297.9
335360.6,221297.9,333497.6,221297.9
333497.6,221297.9,332039.6,221624
332039.6,221624,332039.6,222520.8
332039.6,222520.8,331391.5,223173
331391.5,223173,330824.5,224069.7
330824.5,224069.7,329609.5,224966.5
329609.5,224966.5,328961.5,226841.6
328961.5,226841.6,328637.5,228309
328637.5,228309,327422.4,229531.9
327422.4,229531.9,327179.4,231080.9
327179.4,231080.9,324992.4,232303.8
324992.4,232303.8,324992.4,233852.8
324992.4,233852.8,324749.4,235972.4
324749.4,235972.4,324425.4,237521.4
324425.4,237521.4,324101.3,238744.3
324101.3,238744.3,323210.3,239641
323210.3,239641,323534.3,240537.8
323534.3,240537.8,323534.3,241760.7
323534.3,241760.7,322562.3,243635.8
322562.3,243635.8,322319.3,246407.6
322319.3,246407.6,323777.3,247630.5
323777.3,247630.5,325316.4,248853.4
325316.4,248853.4,323777.3,249750.2
323777.3,249750.2,323777.3,251299.1
323777.3,251299.1,324425.4,252766.6
324425.4,252766.6,324992.4,253744.9
324992.4,253744.9,326531.4,254967.8
326531.4,254967.8,326855.4,257087.4
326855.4,257087.4,328070.5,258636.4
328070.5,258636.4,329609.5,259207.1
329609.5,259207.1,330824.5,259859.3
330824.5,259859.3,332606.6,261082.2
332606.6,261082.2,330824.5,261652.8
330824.5,261652.8,331391.5,263527.9
331391.5,263527.9,332039.6,265647.6
332039.6,265647.6,332606.6,267196.6
332606.6,267196.6,333497.6,268419.4
333497.6,268419.4,334469.6,269886.9
334469.6,269886.9,332930.6,270539.1
332930.6,270539.1,330824.5,270213
330824.5,270213,328961.5,270213
328961.5,270213,327179.4,270539.1
327179.4,270539.1,326207.4,270865.2
326207.4,270865.2,324992.4,272332.6
324992.4,272332.6,323210.3,273555.5
323210.3,273555.5,321671.3,275104.5
321671.3,275104.5,321104.3,276327.4
321104.3,276327.4,319889.2,277224.2
319889.2,277224.2,318350.2,277876.4
318350.2,277876.4,317459.2,279099.2
317459.2,279099.2,317135.2,280648.2
317135.2,280648.2,316811.1,282441.8
316811.1,282441.8,317459.2,283664.6
317459.2,283664.6,318674.2,284316.8
318674.2,284316.8,321104.3,284561.4
321104.3,284561.4,322562.3,285784.3
322562.3,285784.3,324101.3,286762.6
324101.3,286762.6,326207.4,287007.2
326207.4,287007.2,327746.4,287333.3
327746.4,287333.3,329609.5,287659.4
329609.5,287659.4,329609.5,288882.3
329609.5,288882.3,331391.5,290431.2
331391.5,290431.2,332039.6,291898.7
332039.6,291898.7,332039.6,294099.9
332039.6,294099.9,331391.5,294996.7
331391.5,294996.7,330500.5,294344.4
330500.5,294344.4,328961.5,293773.8
328961.5,293773.8,327179.4,293447.7
327179.4,293447.7,325964.4,291898.7
325964.4,291898.7,324101.3,291001.9
324101.3,291001.9,323210.3,292877
323210.3,292877,322886.3,294996.7
322886.3,294996.7,323777.3,297116.3
323777.3,297116.3,324992.4,298339.2
324992.4,298339.2,326531.4,299562.1
326531.4,299562.1,326855.4,301111
326855.4,301111,328070.5,301681.7
328070.5,301681.7,329285.5,303230.7
329285.5,303230.7,329285.5,304453.6
329285.5,304453.6,329285.5,305676.5
329285.5,305676.5,330500.5,306899.3
330500.5,306899.3,331067.5,308122.2
331067.5,308122.2,331715.5,308774.4
331715.5,308774.4,332606.6,310241.9
332606.6,310241.9,334712.6,310568
334712.6,310568,334712.6,311790.8
334712.6,311790.8,333821.6,313665.9
333821.6,313665.9,332282.6,314888.8
332282.6,314888.8,330500.5,316111.7
330500.5,316111.7,329609.5,317334.6
329609.5,317334.6,328394.5,317905.2
328394.5,317905.2,326855.4,318802
326855.4,318802,324992.4,319128.1
324992.4,319128.1,323534.3,320024.9
323534.3,320024.9,321995.3,320351
321995.3,320351,321671.3,321573.9
321671.3,321573.9,321347.3,323448.9
321347.3,323448.9,321995.3,324671.8
321995.3,324671.8,322319.3,326139.3
322319.3,326139.3,323777.3,327117.6
323777.3,327117.6,323777.3,329237.2
323777.3,329237.2,323777.3,330786.2
323777.3,330786.2,324425.4,332253.7
324425.4,332253.7,325964.4,334454.8
325964.4,334454.8,328070.5,334454.8
328070.5,334454.8,329609.5,334699.4
329609.5,334699.4,331067.5,334699.4
331067.5,334699.4,332282.6,335351.6
332282.6,335351.6,332282.6,337471.3
332282.6,337471.3,333821.6,337797.4
333821.6,337797.4,334712.6,337797.4
334712.6,337797.4,335684.7,336248.4
335684.7,336248.4,338357.7,335351.6
338357.7,335351.6,340220.8,335677.7
340220.8,335677.7,341435.8,335677.7
341435.8,335677.7,342974.9,335351.6
342974.9,335351.6,344189.9,333232
344189.9,333232,345971.9,331030.8
345971.9,331030.8,347511,331683
347511,331683,348726,332579.8
348726,332579.8,349293,333476.5
349293,333476.5,350265,334699.4
350265,334699.4,349941,337471.3
349941,337471.3,349941,339346.4
349941,339346.4,349050,341139.9
349050,341139.9,346863,341792.1
346863,341792.1,345404.9,342362.8
345404.9,342362.8,344189.9,343259.6
344189.9,343259.6,342650.8,344808.5
342650.8,344808.5,342326.8,346357.5
342326.8,346357.5,342002.8,347906.5
342002.8,347906.5,341111.8,349700.1
341111.8,349700.1,340544.8,351575.1
340544.8,351575.1,339896.8,353694.8
339896.8,353694.8,339896.8,355814.4
339896.8,355814.4,338357.7,356140.5
338357.7,356140.5,336899.7,356466.6
336899.7,356466.6,335360.6,357689.5
335360.6,357689.5,334145.6,358260.2
334145.6,358260.2,334145.6,359809.2
334145.6,359809.2,335684.7,360379.9
335684.7,360379.9,336251.7,361602.7
336251.7,361602.7,337790.7,362825.6
337790.7,362825.6,337790.7,364700.7
337790.7,364700.7,335684.7,366249.7
335684.7,366249.7,335036.6,366820.3
335036.6,366820.3,333254.6,368369.3
333254.6,368369.3,331715.5,369918.3
331715.5,369918.3,327989.4,368858.5
327989.4,368858.5,327989.4,368858.5
327989.4,368858.5,323777.3,370407.5
323777.3,370407.5,321590.3,373179.3
321590.3,373179.3,319160.2,374728.3
319160.2,374728.3,317378.2,376847.9
317378.2,376847.9,315272.1,378396.9
315272.1,378396.9,313733.1,381087.3
313733.1,381087.3,312842,382962.3
312842,382962.3,311303,382962.3
311303,382962.3,309196.9,382310.1
309196.9,382310.1,306766.9,382065.6
306766.9,382065.6,304579.8,381087.3
304579.8,381087.3,302797.8,379864.4
302797.8,379864.4,300934.7,378967.6
300934.7,378967.6,299476.7,378070.8
299476.7,378070.8,297289.6,378070.8
297289.6,378070.8,294616.5,377174
294616.5,377174,292753.5,376195.7
292753.5,376195.7,289756.4,376195.7
289756.4,376195.7,287002.3,377418.6
287002.3,377418.6,283924.3,378396.9
283924.3,378396.9,282142.2,379619.8
282142.2,379619.8,280279.2,379864.4
280279.2,379864.4,278821.1,379864.4
278821.1,379864.4,276634.1,381413.4
276634.1,381413.4,275743,381739.5
275743,381739.5,274204,381087.3
274204,381087.3,275419,380842.7
275419,380842.7,276634.1,379619.8
276634.1,379619.8,277849.1,378641.5
277849.1,378641.5,278497.1,377418.6
278497.1,377418.6,278173.1,376521.8
278173.1,376521.8,278821.1,375299
278821.1,375299,279388.1,374728.3
279388.1,374728.3,279064.1,373179.3
279064.1,373179.3,279064.1,370733.6
279064.1,370733.6,278821.1,371059.7
278821.1,371059.7,278173.1,373179.3
278173.1,373179.3,277849.1,374402.2
277849.1,374402.2,276067,376521.8
276067,376521.8,273637,375625.1
273637,375625.1,272989,374402.2
272989,374402.2,271530.9,374076.1
271530.9,374076.1,269991.9,373505.4
269991.9,373505.4,268776.8,372853.2
268776.8,372853.2,267885.8,372527.1
267885.8,372527.1,265698.8,371630.3
265698.8,371630.3,264240.7,370733.6
264240.7,370733.6,262053.7,370407.5
262053.7,370407.5,259947.6,370407.5
259947.6,370407.5,258165.6,370407.5
258165.6,370407.5,256302.5,369510.7
256302.5,369510.7,255411.5,368858.5
255411.5,368858.5,254196.5,367961.7
254196.5,367961.7,253548.4,367064.9
253548.4,367064.9,252981.4,365842
252981.4,365842,251766.4,365189.8
251766.4,365189.8,250227.3,364293.1
250227.3,364293.1,250227.3,363070.2
250227.3,363070.2,249660.3,362744.1
249660.3,362744.1,249336.3,361521.2
249336.3,361521.2,248121.3,361276.6
248121.3,361276.6,247230.3,360624.4
247230.3,360624.4,246258.2,359727.7
246258.2,359727.7,245043.2,358504.8
245043.2,358504.8,243585.2,355406.8
243585.2,355406.8,244152.2,354183.9
244152.2,354183.9,243585.2,352716.5
243585.2,352716.5,243261.2,351167.5
243261.2,351167.5,242370.1,349618.5
242370.1,349618.5,241155.1,347825
241155.1,347825,241155.1,346602.1
241155.1,346602.1,240183.1,345623.8
240183.1,345623.8,238968,345623.8
238968,345623.8,237753,345379.2
237753,345379.2,237186,343830.2
237186,343830.2,235322.9,341955.2
235322.9,341955.2,234107.9,341710.6
234107.9,341710.6,233864.9,340732.3
233864.9,340732.3,233216.9,339835.5
233216.9,339835.5,231434.8,339509.4
231434.8,339509.4,229247.8,339264.8
229247.8,339264.8,227141.7,338612.6
227141.7,338612.6,225359.7,337063.6
225359.7,337063.6,224711.7,336819.1
224711.7,336819.1,224711.7,336166.9
224711.7,336166.9,222929.6,335840.8
222929.6,335840.8,222281.6,334373.3
222281.6,334373.3,221390.6,333721.1
221390.6,333721.1,221714.6,332824.3
221714.6,332824.3,220742.5,332172.1
220742.5,332172.1,220175.5,331927.6
220175.5,331927.6,219527.5,331275.4
219527.5,331275.4,219284.5,330052.5
219284.5,330052.5,218312.5,330052.5
218312.5,330052.5,218069.5,328829.6
218069.5,328829.6,217745.5,327932.8
217745.5,327932.8,217097.5,327036.1
217097.5,327036.1,215882.4,326057.7
215882.4,326057.7,215639.4,324834.9
215639.4,324834.9,214667.4,322715.2
214667.4,322715.2,216206.4,322144.5
216206.4,322144.5,216854.4,323041.3
216854.4,323041.3,218069.5,323041.3
218069.5,323041.3,219284.5,322715.2
219284.5,322715.2,221066.6,323041.3
221066.6,323041.3,221714.6,323367.4
221714.6,323367.4,222281.6,323612
222281.6,323612,222605.6,323938.1
222605.6,323938.1,223496.6,324834.9
223496.6,324834.9,225602.7,325161
225602.7,325161,226817.7,324590.3
226817.7,324590.3,229004.8,323938.1
229004.8,323938.1,230219.8,322144.5
230219.8,322144.5,232001.9,321492.3
232001.9,321492.3,232325.9,323367.4
232325.9,323367.4,232001.9,325487.1
232001.9,325487.1,232325.9,327280.6
232325.9,327280.6,232649.9,328503.5
232649.9,328503.5,234755.9,328829.6
234755.9,328829.6,234755.9,330052.5
234755.9,330052.5,236862,330949.3
236862,330949.3,238077,331927.6
238077,331927.6,240507.1,332498.2
240507.1,332498.2,242370.1,333150.4
242370.1,333150.4,244152.2,333721.1
244152.2,333721.1,246015.2,334373.3
246015.2,334373.3,248121.3,334944
248121.3,334944,249660.3,335270.1
249660.3,335270.1,252090.4,335270.1
