"x","y"
353.5861,188.2802
352.9381,189.2585
352.9381,190.8075
353.2621,192.601
352.9381,194.15
351.7231,195.3729
351.7231,197.4925
352.0471,198.7154
352.0471,200.2644
353.2621,201.4873
353.9101,203.0362
352.3711,204.2591
352.3711,205.4005
352.9381,206.6233
353.5861,208.4984
353.9101,210.6181
353.5861,212.4116
352.3711,213.3899
350.265,213.3899
349.05,213.3899
348.078,214.2867
347.187,215.5096
345.9719,216.4064
345.0809,217.3031
345.0809,218.526
344.1899,219.5043
343.2179,220.4011
342.3268,220.9718
341.1118,222.1947
339.0057,223.4175
337.7907,223.173
337.7907,222.1947
336.5757,221.9501
335.3606,221.2979
333.4976,221.2979
332.0396,221.624
332.0396,222.5208
331.3915,223.173
330.8245,224.0697
329.6095,224.9665
328.9615,226.8416
328.6375,228.309
327.4224,229.5319
327.1794,231.0809
324.9924,232.3038
324.9924,233.8528
324.7494,235.9724
324.4254,237.5214
324.1013,238.7443
323.2103,239.641
323.5343,240.5378
323.5343,241.7607
322.5623,243.6358
322.3193,246.4076
323.7773,247.6305
325.3164,248.8534
323.7773,249.7502
323.7773,251.2991
324.4254,252.7666
324.9924,253.7449
326.5314,254.9678
326.8554,257.0874
328.0705,258.6364
329.6095,259.2071
330.8245,259.8593
332.6066,261.0822
330.8245,261.6528
331.3915,263.5279
332.0396,265.6476
332.6066,267.1966
333.4976,268.4194
334.4696,269.8869
332.9306,270.5391
330.8245,270.213
328.9615,270.213
327.1794,270.5391
326.2074,270.8652
324.9924,272.3326
323.2103,273.5555
321.6713,275.1045
321.1043,276.3274
319.8892,277.2242
318.3502,277.8764
317.4592,279.0992
317.1352,280.6482
316.8111,282.4418
317.4592,283.6646
318.6742,284.3168
321.1043,284.5614
322.5623,285.7843
324.1013,286.7626
326.2074,287.0072
327.7464,287.3333
329.6095,287.6594
329.6095,288.8823
331.3915,290.4312
332.0396,291.8987
332.0396,294.0999
331.3915,294.9967
330.5005,294.3444
328.9615,293.7738
327.1794,293.4477
325.9644,291.8987
324.1013,291.0019
323.2103,292.877
322.8863,294.9967
323.7773,297.1163
324.9924,298.3392
326.5314,299.5621
326.8554,301.111
328.0705,301.6817
329.2855,303.2307
329.2855,304.4536
329.2855,305.6765
330.5005,306.8993
331.0675,308.1222
331.7155,308.7744
332.6066,310.2419
334.7126,310.568
334.7126,311.7908
333.8216,313.6659
332.2826,314.8888
330.5005,316.1117
329.6095,317.3346
328.3945,317.9052
326.8554,318.802
324.9924,319.1281
323.5343,320.0249
321.9953,320.351
321.6713,321.5739
321.3473,323.4489
321.9953,324.6718
322.3193,326.1393
323.7773,327.1176
323.7773,329.2372
323.7773,330.7862
324.4254,332.2537
325.9644,334.4548
328.0705,334.4548
329.6095,334.6994
331.0675,334.6994
332.2826,335.3516
332.2826,337.4713
333.8216,337.7974
334.7126,337.7974
335.6847,336.2484
338.3577,335.3516
340.2208,335.6777
341.4358,335.6777
342.9749,335.3516
344.1899,333.232
345.9719,331.0308
347.511,331.683
348.726,332.5798
349.293,333.4765
350.265,334.6994
349.941,337.4713
349.941,339.3464
349.05,341.1399
346.863,341.7921
345.4049,342.3628
344.1899,343.2596
342.6508,344.8085
342.3268,346.3575
342.0028,347.9065
341.1118,349.7001
340.5448,351.5751
339.8968,353.6948
339.8968,355.8144
338.3577,356.1405
336.8997,356.4666
335.3606,357.6895
334.1456,358.2602
334.1456,359.8092
335.6847,360.3799
336.2517,361.6027
337.7907,362.8256
337.7907,364.7007
335.6847,366.2497
335.0366,366.8203
333.2546,368.3693
331.7155,369.9183
327.9894,368.8585
327.9894,368.8585
323.7773,370.4075
321.5903,373.1793
319.1602,374.7283
317.3782,376.8479
315.2721,378.3969
313.7331,381.0873
312.842,382.9623
311.303,382.9623
309.1969,382.3101
306.7669,382.0656
304.5798,381.0873
302.7978,379.8644
300.9347,378.9676
299.4767,378.0708
297.2896,378.0708
294.6165,377.174
292.7535,376.1957
289.7564,376.1957
287.0023,377.4186
283.9243,378.3969
282.1422,379.6198
280.2792,379.8644
278.8211,379.8644
276.6341,381.4134
275.743,381.7395
274.204,381.0873
275.419,380.8427
276.6341,379.6198
277.8491,378.6415
278.4971,377.4186
278.1731,376.5218
278.8211,375.299
279.3881,374.7283
279.0641,373.1793
279.0641,370.7336
278.8211,371.0597
278.1731,373.1793
277.8491,374.4022
276.067,376.5218
273.637,375.6251
272.989,374.4022
271.5309,374.0761
269.9919,373.5054
268.7768,372.8532
